title,author,price_sale,sale,price_regular,rating,reviewers,img_url,url
Animorphia - Thế Giới Hoang Dã (Sách Tô Màu...,Kerby Rosanes,54889,35,84000,4.9,173,https://salt.tikicdn.com/cache/280x280/media/catalog/product/b/i/bia_the-gioi-hoang-da_out_convert-01-01.jpg,https://tiki.vn/animorphia-the-gioi-hoang-da-sach-to-mau-danh-cho-nguoi-lon-p447855.html?spid=20470726&src=category-page-8322&2hi=0
Thói Quen Thứ 8 - Từ Hiệu Quả Đến Vĩ Đại...,Stephen R. Covey,109200,35,168000,4.8,5,https://salt.tikicdn.com/cache/280x280/ts/product/f7/e6/34/fda2b9be98d55fc38b335aaf8bea8653.jpg,https://tiki.vn/thoi-quen-thu-8-tu-hieu-qua-den-vi-dai-bia-cung-p49997209.html?spid=49997210&src=category-page-8322&2hi=0
Oxford Learner's Pocket Phrasal Verbs and...,Nhiều Tác Giả,140649,25,188000,4.7,133,https://salt.tikicdn.com/cache/280x280/media/catalog/product/o/x/oxford-learner_s-pocket.jpg,https://tiki.vn/oxford-learner-s-pocket-phrasal-verbs-and-idioms-p408804.html?spid=111399&src=category-page-8322&2hi=0
Những Chú Chó Bán Hàng,Blair Singer,92289,23,120000,4.4,42,https://salt.tikicdn.com/cache/280x280/ts/product/93/2d/9e/9ff7d29a742f62fa90546cbc5dc48137.jpg,https://tiki.vn/nhung-chu-cho-ban-hang-p1734377.html?spid=1735367&src=category-page-8322&2hi=0
Kỷ Luật Tự Giác Thói Quen Của Người Thành...,Brian Tracy,83850,35,129000,4.5,13,https://salt.tikicdn.com/cache/280x280/ts/product/83/93/6e/946742368370ff9504f71acf73cd4cd9.jpg,https://tiki.vn/ky-luat-tu-giac-thoi-quen-cua-nguoi-thanh-cong-p48035293.html?spid=50322302&src=category-page-8322&2hi=0
Năm Thương Tháng Nhớ Không Ngày Gửi Đi,Kỳ Anh,53950,35,83000,4.8,49,https://salt.tikicdn.com/cache/280x280/ts/product/d2/84/71/dc130559d1793da98632150d8ae980ad.jpg,https://tiki.vn/nam-thuong-thang-nho-khong-ngay-gui-di-p49066834.html?spid=49066836&src=category-page-8322&2hi=0
Có Những Điều Chẳng Thể Nói Cùng Ai (Bản...,Minh Nhật,62400,35,96000,4.5,156,https://salt.tikicdn.com/cache/280x280/ts/product/2d/5e/25/62f14771f0f6ca50cd79888cd75908b8.jpg,https://tiki.vn/co-nhung-dieu-chang-the-noi-cung-ai-ban-thong-thuong-p41294586.html?spid=41294588&src=category-page-8322&2hi=0
Nước Mỹ Trong Tầm Tay,,64480,28,90000,4.4,118,https://salt.tikicdn.com/cache/280x280/ts/product/1c/1d/84/ee91ff7e58490a6980b4f072f11be9d9.jpg,https://tiki.vn/nuoc-my-trong-tam-tay-p4437135.html?spid=4437137&src=category-page-8322&2hi=0
Công Phá Tiếng Anh 1,Lương Văn Thùy,150000,6,159000,4.6,173,https://salt.tikicdn.com/cache/280x280/ts/product/18/29/a9/0aa4f1b601ed0363b13cb5531c928def.jpg,https://tiki.vn/cong-pha-tieng-anh-1-p1321419.html?spid=13306611&src=category-page-8322&2hi=0
Chinh Phục Đề Thi Vào 10 Chuyên - Khối...,Dương Thị Hương,107998,32,159000,4.7,104,https://salt.tikicdn.com/cache/280x280/ts/product/e2/18/36/8a365bcdaf24ed835a463062cdb06a2a.png,https://tiki.vn/chinh-phuc-de-thi-vao-10-chuyen-khoi-chuyen-anh-p12207665.html?spid=20473135&src=category-page-8322&2hi=0
